ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10266,ENGL,3810,105,Discussion,0,Valerie Voight,We 3:30PM - 4:45PM,Astronomy Bldg 265,History of Literatures in English I,,Wait List,15,15,0,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13346,ENGL,3810,106,Discussion,0,Samuel Lemley,Th 11:00AM - 12:15PM,Pavilion VIII 108,History of Literatures in English I,,Wait List,15,15,1,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10269,ENGL,3810,108,Discussion,0,Samuel Lemley,Th 9:30AM - 10:45AM,Bryan Hall 233,History of Literatures in English I,,Wait List,15,15,0,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10270,ENGL,3810,109,Discussion,0,Adam Friedgen,We 5:00PM - 6:15PM,Bryan Hall 328,History of Literatures in English I,,Open,14,15,1,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14500,ENGL,3810,111,Discussion,0,Michael VanHoose,Fr 11:00AM - 12:15PM,Shannon House 109,History of Literatures in English I,,Open,9,15,1,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14501,ENGL,3810,112,Discussion,0,Anne Morgan,Th 11:00AM - 12:15PM,Bryan Hall 233,History of Literatures in English I,,Open,9,15,2,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14502,ENGL,3810,113,Discussion,0,Anne Morgan,Th 3:30PM - 4:45PM,New Cabell Hall 389,History of Literatures in English I,,Open,14,15,0,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14622,ENGL,3810,114,Discussion,0,Michael VanHoose,Th 3:30PM - 4:45PM,Astronomy Bldg 265,History of Literatures in English I,,Wait List,15,15,0,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15316,ENGL,3810,115,Discussion,0,Neal Curtis,We 6:30PM - 7:45PM,Wilson Hall 244,History of Literatures in English I,,Wait List,15,15,1,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15317,ENGL,3810,116,Discussion,0,Valerie Voight,Fr 12:00PM - 1:15PM,Bryan Hall 310,History of Literatures in English I,,Open,8,15,0,"A three-semester, chronological survey of literatures in English from their beginnings to the present day. Studies the formal and thematic features of different genres in relation to the chief literary, social, and cultural influences upon them. ENGL 3810 covers the period up to 1660; ENGL 3820, the period 1660-1880; and ENGL 3830, the period 1880 to the present. Required of all majors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
21295,ENGL,4993,1,Independent Study,3-Jan,Mrinalini Chakravorty,TBA,TBA,Independent Study,,Closed,1,1,0,"For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: third year, fourth year, English major or minor, AAS major or minor."
10272,ENGL,4998,1,Seminar,3,Karen Chase Levenson,Fr 10:00AM - 12:30PM,Bryan Hall 328,Distinguished Majors Program,,Open,8,25,0,"Directed research leading to completion of an extended essay to be submitted to the Honors Committee. Both ENGL 4998 and 4999 are required of honors candidates. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15648,ENGL,8998,1,Independent Study,3,Victoria Olwell,TBA,TBA,M.A. Thesis,,Open,0,5,0,"M.A. students in English may choose to write a substantial thesis directed by a faculty member.  Students opting for a thesis should draw up a proposal and secure a director to supervise the project. Students choose between a critical thesis of 10,000-15,000 words and a pedagogical thesis (described on our website). Students enroll in this three-credit course for a single semester, either fall or spring; it is not available during the summer.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10273,ENGL,8999,1,Independent Study,12-Jan,Victoria Olwell,TBA,TBA,"Non-Topical Research, Preparation for Research",,Open,1,250,0,"Students taking this course are expected to prepare for their M.A. oral examination and proceed with their M.A. research.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/graduate/current."
13203,ENGL,9899,1,Independent Study,12,Deborah McDowell,TBA,TBA,Woodson Institute Fellows Pre- and Post-Doctoral Research,,Open,0,15,0,This is a supervised research course without formal classroom instruction.
10274,ENGL,9998,1,Independent Study,12-Jan,Victoria Olwell,TBA,TBA,"Non-Topical Research, Preparation for Doctoral Research",,Open,6,250,0,"Students taking this course are expected to prepare for their preliminary qualifying oral examinations for the doctorate.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10275,ENGL,9999,1,Independent Study,12-Jan,Victoria Olwell,TBA,TBA,Non-Topical Research,,Open,18,100,0,"For doctoral dissertation, taken under the supervision of a dissertation director.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14660,ENGN,8510,2,Seminar,3,Jeffery Allen,We 2:00PM - 4:30PM,Bryan Hall 328,Form and Theory of Fiction,,Open,6,12,0,This course provides a practitioner's perspective on a selection of works of fiction.
14224,ENGN,8520,1,Seminar,3,Lisa Spaar,Tu 2:00PM - 4:30PM,Bryan Hall 330,Form and Theory of Poetry,,Open,11,12,0,This course provides a practitioner's perspective on a selection of poetic works.
14225,ENLP,4550,1,Seminar,3,Jeffery Allen,Tu 2:00PM - 4:30PM,Bryan Hall 334,Topics in Literary Prose,The Fantastic,Open,12,15,0,"One of two required readings courses for students admitted to the Area Program in Literary Prose, also open to other qualified students. For instructions on how to apply to this class, see www.engl.virginia.edu/courses. Prerequisite: Instructor permission."
14964,ENLT,2100,1,Seminar,3,Claire Eager,MoWeFr 10:00AM - 10:50AM,Bryan Hall 312,Introduction to Literary Studies,,Open,12,15,1,"Prerequisite for declaring an English major. Introduces students to some fundamental skills in critical thinking and critical writing about literary texts. Readings include various examples of poetry, fiction, and drama. The course is organized along interactive and participatory lines.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18725,ENLT,2100,2,Seminar,3,Victor Luftig,TuTh 11:00AM - 12:15PM,Bryan Hall 310,Introduction to Literary Studies,,Open,16,17,2,"Prerequisite for declaring an English major. Introduces students to some fundamental skills in critical thinking and critical writing about literary texts. Readings include various examples of poetry, fiction, and drama. The course is organized along interactive and participatory lines.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18727,ENLT,2511,1,Seminar,3,Alison Hurley,TuTh 9:30AM - 10:45AM,Bryan Hall 310,Masterpieces of English Literature,Putting Austen in her Place,Open,15,16,1,"Surveys selected English writers from the fourteenth through the eighteenth century.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19382,ENLT,2511,2,Seminar,3,Emily Keyser,MoWe 3:30PM - 4:45PM,Bryan Hall 332,Masterpieces of English Literature,Great Thinkers & Fav Books,Open,17,18,2,"Surveys selected English writers from the fourteenth through the eighteenth century.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15265,ENLT,2514,1,Seminar,3,Britta Rowe,TuTh 12:30PM - 1:45PM,Bryan Hall 334,Modern American Authors,American Gothic Fictions,Open,17,18,0,"Surveys major American writers of the twentieth century. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14352,ENLT,2523,1,Seminar,3,R Ramazani,MoWe 2:00PM - 3:15PM,Bryan Hall 330,Studies in Poetry,Contemporary American Poetry,Open,14,15,0,"Examines the poetic techniques and conventions of imagery and verse that poets have used across the centuries. Exercises in scansion, close reading, and framing arguments about poetry.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15245,ENLT,2523,2,Seminar,3,Megan Haury,TuTh 9:30AM - 10:45AM,Bryan Hall 330,Studies in Poetry,Poetry and Place,Open,9,13,0,"Examines the poetic techniques and conventions of imagery and verse that poets have used across the centuries. Exercises in scansion, close reading, and framing arguments about poetry.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19383,ENLT,2523,3,Seminar,3,Sarah Storti,TuTh 12:30PM - 1:45PM,Bryan Hall 310,Studies in Poetry,Bad Poetry,Open,16,17,3,"Examines the poetic techniques and conventions of imagery and verse that poets have used across the centuries. Exercises in scansion, close reading, and framing arguments about poetry.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
20267,ENLT,2523,4,Seminar,3,Matthew Davis,TuTh 12:30PM - 1:45PM,Bryan Hall 330,Studies in Poetry,The Sonnet,Open,3,13,0,"Examines the poetic techniques and conventions of imagery and verse that poets have used across the centuries. Exercises in scansion, close reading, and framing arguments about poetry.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15244,ENLT,2524,1,Seminar,3,Gretchen York,MoWeFr 11:00AM - 11:50AM,Bryan Hall 312,Studies in Drama,Villainy on Stage,Open,9,13,0,"Introduces the techniques of the dramatic art, with close analysis of selected plays.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14445,ENLT,2526,1,Seminar,3,Peter Baker,TuTh 2:00PM - 3:15PM,Brooks Hall 103,Studies in Fiction,Otherworlds,Open,11,13,0,"Studies the techniques of fiction.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15030,ENLT,2526,2,Seminar,3,Mary Kuhn,TuTh 9:30AM - 10:45AM,New Cabell Hall 064,Studies in Fiction,American Environmental Fiction,Open,9,14,1,"Studies the techniques of fiction.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15239,ENLT,2526,3,Seminar,3,Patricia Sullivan,Tu 3:30PM - 6:00PM,New Cabell Hall 287,Studies in Fiction,Science Fiction,Open,14,16,2,"Studies the techniques of fiction.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15242,ENLT,2526,4,Seminar,3,Elizabeth Fox,MoWe 3:30PM - 4:45PM,Bryan Hall 334,Studies in Fiction,19th-Century Romantic Comedy,Open,13,14,1,"Studies the techniques of fiction.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18729,ENLT,2530,1,Seminar,3,Jordan Burke,MoWeFr 12:00PM - 12:50PM,New Cabell Hall 364,Studies in Global Literature,Globalization & World Literatu,Open,16,17,0,"Examines a selection of works, primarily in English but occasionally in translation, from around the world. The list of works and genres treated will vary. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14226,ENLT,2547,1,Seminar,3,Sarah Ingle,MoWe 2:00PM - 3:15PM,Shannon House 109,Black Writers in America,"Race, Crime, and Justice",Wait List,16,16,14,"Topics in African-American writing in the US from its beginning in vernacular culture to the present day; topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15238,ENLT,2548,1,Lecture,3,Samantha Wallace,MoWe 3:30PM - 4:45PM,New Cabell Hall 209,Contemporary Literature,"Experimenting with ""Mystery""",Open,14,15,0,"Introduces trends in contemporary English, American, and Continental literature, especially in fiction, but with some consideration of poetry and drama.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19795,ENLT,2548,2,Lecture,3,Jordan Buysse,TuTh 3:30PM - 4:45PM,New Cabell Hall 107,Contemporary Literature,Text and Technology,Open,12,15,1,"Introduces trends in contemporary English, American, and Continental literature, especially in fiction, but with some consideration of poetry and drama.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18731,ENLT,2550,2,Seminar,3,Thomas Berenato,TuTh 9:30AM - 10:45AM,Maury Hall 113,Shakespeare,Forgiving and Forgetting,Open,8,14,0,"Studies selected sonnets and plays of Shakespeare.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15240,ENLT,2552,1,Seminar,3,Anne Galvin,TuTh 3:30PM - 4:45PM,Bryan Hall 312,Women in Literature,Global Women Writers,Open,7,8,1,"Analyzes the representations of women in literature as well as literary texts by women writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18732,ENLT,2552,2,Seminar,3,Cristina Griffin,TuTh 2:00PM - 3:15PM,The Rotunda Room 152,Women in Literature,Gender and the Gothic,Wait List,16,16,1,"Analyzes the representations of women in literature as well as literary texts by women writers.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14969,ENLT,2555,1,Seminar,3,Karen Chase Levenson,TuTh 9:30AM - 10:45AM,New Cabell Hall 364,Special Topics,Medicine and Culture,Open,14,15,3,"Usually an introduction to non-traditional or specialized topics in literary studies, (e.g., native American literature, gay and lesbian studies, techno-literacy, Arthurian romance, Grub Street in eighteenth-century England, and American exceptionalism).  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15241,ENLT,2555,2,Seminar,3,Cynthia Wall,MoWe 2:00PM - 3:15PM,Dawson's Row 1,Special Topics,Gothic Forms,Open,9,13,1,"Usually an introduction to non-traditional or specialized topics in literary studies, (e.g., native American literature, gay and lesbian studies, techno-literacy, Arthurian romance, Grub Street in eighteenth-century England, and American exceptionalism).  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14417,ENLT,2555,3,Seminar,3,Christopher Krentz,MoWeFr 12:00PM - 12:50PM,Bryan Hall 332,Special Topics,Disability in Literature,Open,4,12,1,"Usually an introduction to non-traditional or specialized topics in literary studies, (e.g., native American literature, gay and lesbian studies, techno-literacy, Arthurian romance, Grub Street in eighteenth-century England, and American exceptionalism).  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15243,ENLT,2555,4,Seminar,3,Mary Dickens,TuTh 2:00PM - 3:15PM,Bryan Hall 312,Special Topics,"Highbrow, Middlebrow, Lowbrow",Open,3,12,0,"Usually an introduction to non-traditional or specialized topics in literary studies, (e.g., native American literature, gay and lesbian studies, techno-literacy, Arthurian romance, Grub Street in eighteenth-century England, and American exceptionalism).  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
15260,ENLT,2555,5,Seminar,3,Jon D'Errico,MoWeFr 10:00AM - 10:50AM,Bryan Hall 330,Special Topics,Beauty and Monstrosity,Open,13,15,2,"Usually an introduction to non-traditional or specialized topics in literary studies, (e.g., native American literature, gay and lesbian studies, techno-literacy, Arthurian romance, Grub Street in eighteenth-century England, and American exceptionalism).  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19384,ENLT,2555,6,Seminar,3,Jesse Bordwin,TuTh 3:30PM - 4:45PM,New Cabell Hall 211,Special Topics,Global Modernisms,Open,10,12,0,"Usually an introduction to non-traditional or specialized topics in literary studies, (e.g., native American literature, gay and lesbian studies, techno-literacy, Arthurian romance, Grub Street in eighteenth-century England, and American exceptionalism).  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
20188,ENLT,2555,7,Seminar,3,Mark Edmundson,TuTh 3:30PM - 4:45PM,Bryan Hall 332,Special Topics,"Heroes, Sages and Saints",Open,15,17,0,"Usually an introduction to non-traditional or specialized topics in literary studies, (e.g., native American literature, gay and lesbian studies, techno-literacy, Arthurian romance, Grub Street in eighteenth-century England, and American exceptionalism).  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14227,ENMC,3500,1,Lecture,3,Caroline Rody,TuTh 11:00AM - 12:15PM,The Rotunda Room 150,Studies in Modern and Contemporary Literature,Jewish-American Literature,Open,12,22,0,"This course takes up topics in the study of literature in English in the twentieth and twenty-first centuries.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
20265,ENMC,3500,2,Lecture,3,"Caroline Rody,Vanessa Ochs",Th 2:00PM - 4:30PM,Fayerweather Hall 206,Studies in Modern and Contemporary Literature,Spirituality in Jewish Fiction,Open,1,10,0,"This course takes up topics in the study of literature in English in the twentieth and twenty-first centuries.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18733,ENMC,3800,1,Lecture,3,Jessica Feldman,TuTh 12:30PM - 1:45PM,Bryan Hall 328,Concepts of the Modern,,Open,28,30,0,"Studies the modern sensibility through an examination of the themes and techniques of aestheticism, psychology, existentialism, and twentieth and twenty-first centuries.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13759,ENMC,4500,1,Seminar,3,R Ramazani,MoWe 3:30PM - 4:45PM,Bryan Hall 330,Advanced Studies in Modern and Contemporary Literature,Contemporary American Poetry,Wait List,18,18,2,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14983,ENMC,4500,2,Seminar,3,Debjani Ganguly,Tu 3:30PM - 6:00PM,Contact Department,Advanced Studies in Modern and Contemporary Literature,Oceanic Connections,Open,8,18,0,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
19385,ENMC,4500,3,Seminar,3,Walter Jost,TuTh 3:30PM - 4:45PM,Dell 1 104,Advanced Studies in Modern and Contemporary Literature,5 American Poets,Open,3,18,0,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13763,ENMC,4530,1,Seminar,3,Mrinalini Chakravorty,TuTh 12:30PM - 1:45PM,Bryan Hall 332,Seminar in Modern Literature and Culture,The Dystopian Novel,Wait List,15,15,9,"Limited enrollment. An interdisciplinary seminar focusing on the interrelationships between literature and history, the social sciences, philosophy, religion, and the fine arts in the Modern period.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
15031,ENMC,8500,1,Seminar,3,Mrinalini Chakravorty,Tu 6:30PM - 9:00PM,Bryan Hall 310,Topics in Modern and Contemporary Literature,The Refugee,Open,3,12,0,"Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
20219,ENMC,8500,2,Seminar,3,"Kevin Hart,Walter Jost",TuTh 2:00PM - 3:15PM,Ruffner Hall 125,Topics in Modern and Contemporary Literature,5 American Poets,Open,8,14,0,"Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18734,ENMC,9500,1,Seminar,3,Sylvia Chong,MoWe 2:00PM - 3:15PM,Nau Hall 241,Studies in Modern and Contemporary Literature,Racial Performance,Open,4,12,0,"Topics have included Postmodern Fiction and Theory, Faulkner, Women and Cultures of Modernism, Yeats and Joyce, Modernism and the Invention of Homosexuality.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18703,ENMD,3250,1,Lecture,3,Sarah Torres,MoWe 2:00PM - 3:15PM,Maury Hall 113,Chaucer I,,Wait List,30,30,3,"Studies selected Canterbury Tales and other works, read in the original.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18735,ENMD,5010,1,Lecture,3,Peter Baker,TuTh 11:00AM - 12:15PM,Bryan Hall 312,Introduction to Old English,,Wait List,18,18,5,"Studies the language and literature of Anglo-Saxon England.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18704,ENNC,3210,1,Lecture,3,Cristina Griffin,TuTh 11:00AM - 12:15PM,Bryan Hall 235,Major British Authors of the Earlier Nineteenth Century,,Wait List,30,30,6,"Analyzes the principal works of three or more Romantic authors.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18736,ENNC,3240,1,Lecture,3,Herbert Tucker,MoWe 2:00PM - 3:15PM,New Cabell Hall 485,Victorian Poetry,,Open,9,22,0,A study of British poetry in the period 1832-1901.
19387,ENNC,3500,1,Lecture,3,Alison Booth,MoWe 3:30PM - 4:45PM,Bryan Hall 235,Nineteenth Century Topics,Gothic Spaces,Wait List,24,24,2,"Examination of particular movements within the period, (e.g., the Aesthetic Movement; the Pre-Raphaelites; and Condition-of-England novels).  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14228,ENNC,4500,1,Seminar,3,Jerome McGann,TuTh 12:30PM - 1:45PM,New Cabell Hall 407,Advanced Studies in Nineteenth Century Literature I,Reimagining the World,Wait List,9,9,2,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14229,ENNC,4500,2,Seminar,3,Paul Cantor,MoWe 3:30PM - 4:45PM,New Cabell Hall 283,Advanced Studies in Nineteenth Century Literature I,Literature and Science,Wait List,18,18,3,"Limited enrollment. Topics vary from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
14967,ENNC,8500,1,Seminar,3,Herbert Tucker,Tu 5:00PM - 7:30PM,Bryan Hall 334,Topics in Nineteenth-Century Literature,Word Magic in the 19th Century,Open,6,14,0,"Topic varies from year to year.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13767,ENPG,8800,1,Seminar,3-Jan,James Seitz,We 5:00PM - 7:30PM,Bryan Hall 235,Pedagogy Seminar,,Open,13,18,0,"This course prepares first year doctoral students for the teaching they will do here at UVa in both literature classes and the writing program. Covers topics such as classroom management, leading discussion, grading papers. Limited enrollment.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10968,ENPG,8850,1,Independent Study,3,Staff,TBA,TBA,Literature Surveys,,Open,0,20,0,"Weekly workshops with faculty and teaching staff of the 3000-level lecture courses, ENGL 3810, ENGL 3820 and ENGL 3830 and ENRN 3210 and ENRN 3220. Second-year Ph.D. students in English enroll in this course once during the semester in which they lead a discussion section of a lecture course.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13761,ENPW,4820,1,Seminar,3,Debra Nystrom,Mo 2:00PM - 4:30PM,Bryan Hall 233,Poetry Program Poetics,,Open,12,15,0,"This poetics seminar, designed for students in the English Department's Area program in Poetry Writing but open to other students on a space-available basis, is a close readings course for serious makers and readers of poems.  Seminar topics vary by semester.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
13764,ENPW,4910,1,Seminar,3,Paul Guest,We 2:00PM - 4:30PM,Bryan Hall 312,Poetry Capstone,,Open,6,12,0,"Directed poetry writing project for students in the English Department's Undergraduate Area Program in Poetry Writing, leading to completion of a manuscript of poems. Both courses are required for students in the Distinguished Majors Program.   For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses.  Prerequisite: Instructor permission."
18705,ENRN,3130,1,Lecture,3,James Kinney,MoWe 2:00PM - 3:15PM,Maury Hall 110,The Seventeenth Century,,Open,12,24,1,"Surveys the prose, poetry and drama  of the earlier seventeenth century. For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10276,ENRN,3210,100,Lecture,3,Katharine Maus,MoWe 12:00PM - 12:50PM,Minor Hall 125,Shakespeare I,,Open,66,103,2,"Surveys Shakespeare's earlier career, emphasizing the histories and comedies.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10278,ENRN,3210,101,Discussion,0,Rebecca Levy,We 3:30PM - 4:20PM,Bryan Hall 310,Shakespeare I,,Open,9,15,0,"Surveys Shakespeare's earlier career, emphasizing the histories and comedies.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10279,ENRN,3210,102,Discussion,0,Rebecca Levy,We 2:00PM - 2:50PM,Nau Hall 242,Shakespeare I,,Open,14,15,1,"Surveys Shakespeare's earlier career, emphasizing the histories and comedies.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
10277,ENRN,3210,103,Discussion,0,Anne Marie Thompson,Th 5:00PM - 5:50PM,New Cabell Hall 415,Shakespeare I,,Open,12,15,0,"Surveys Shakespeare's earlier career, emphasizing the histories and comedies.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12358,ENRN,3210,104,Discussion,0,Rebecca Levy,Fr 11:00AM - 11:50AM,Bryan Hall 203,Shakespeare I,,Open,12,15,1,"Surveys Shakespeare's earlier career, emphasizing the histories and comedies.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12359,ENRN,3210,105,Discussion,0,Anne Marie Thompson,Th 3:30PM - 4:20PM,New Cabell Hall 485,Shakespeare I,,Wait List,15,15,0,"Surveys Shakespeare's earlier career, emphasizing the histories and comedies.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
12360,ENRN,3210,106,Discussion,0,Rebecca Levy,Fr 10:00AM - 10:50AM,Bryan Hall 310,Shakespeare I,,Open,4,15,0,"Surveys Shakespeare's earlier career, emphasizing the histories and comedies.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
20933,ENRN,4500,1,Seminar,3,Staff,TuTh 11:00AM - 12:15PM,New Cabell Hall 594,Advanced Studies in Renaissance Literature,Women in Renaissance England,Open,2,18,0,"Topics vary from year to year.  Recent examples are `Renaissance Word and Image' and `Masks of Desire.' For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
18737,ENRN,8110,1,Lecture,3,James Kinney,Mo 5:00PM - 7:30PM,Bryan Hall 310,Renaissance Poetry,,Open,3,14,0,"Studies the theory and practice of lyric and epic poetry in 16th-century England, with some brief glances at other forms: romance, epyllion, and verse essay.  For more details on this class, please visit the department website at http://www.engl.virginia.edu/courses."
21327,ENRN,8500,1,Seminar,3,Staff,Tu 2:00PM - 4:30PM,Bryan Hall 233,Studies in Renaissance Literature,Milton,Open,2,14,0,New course in Studies in Renaissance Literature
19388,ENSP,2610,1,Seminar,3,Lisa Goff,TuTh 3:30PM - 4:45PM,Bryan Hall 328,Point of View Journalism,,Wait List,15,15,5,This course analyzes 'point-of-view' journalism as a controversial but credible alternative to the dominant model of ''objectivity' in the U.S. news media. It will survey point-of-view journalists from Benjamin Franklin to the modern blog.
18738,ENSP,3559,1,Lecture,3,Mary Kuhn,TuTh 12:30PM - 1:45PM,New Cabell Hall 338,New Course in Special Topics In Literature,Plants and Empire,Open,14,22,2,This course provides the opportunity to offer a new course in the subject of Special Topics In Literature.
19390,ENSP,3559,2,Lecture,3,Bradley Pasanek,MoWe 3:30PM - 4:45PM,New Cabell Hall 332,New Course in Special Topics In Literature,Hacking for Humanists,Open,16,27,0,This course provides the opportunity to offer a new course in the subject of Special Topics In Literature.
